0	D1	D2	D3	DR1	DR2	DR3	V1	V2	V3	VR1	VR2	VR3
XLOC_000039	711.7	493.466	727.214	310.987	624.042	505.005	395.424	415.561	330.586	350.008	486.571	360.501
XLOC_000040	69.0553	51.9515	89.0199	45.9104	50.0709	65.8393	63.174	80.0398	118.503	46.058	90.7616	83.7097
XLOC_000041	499.058	398.511	484.207	455.693	510.659	436.609	346.339	384.518	329.483	421.765	413.257	330.938
XLOC_000042	176.372	156.126	183.656	103.823	125.497	138.328	166.863	126.608	111.028	111.437	129.968	127.649
XLOC_000043	20.2403	25.0746	22.6283	28.9226	19.7245	23.0717	22.4096	30.4408	43.5529	28.8161	21.2008	25.7005
XLOC_000044	327.514	459.276	250.974	420.527	394.05	493.094	373.51	331.017	341.396	341.633	378.175	398.029
XLOC_000045	239.989	243.113	259.175	246.52	293.853	213.532	201.98	267.853	265.633	314.469	275.208	183.486
XLOC_000046	64.1157	68.7162	76.3778	85.6142	61.9799	59.0782	65.208	98.5894	103.228	87.4104	67.8325	61.635
XLOC_000047	32.1346	38.817	37.2903	50.5233	38.0509	48.0285	51.7929	53.8403	70.0956	55.5583	53.2075	47.6194
XLOC_000048	9645.82	5037.95	5321.67	4193.38	6969.56	6836.3	4853.75	4439.27	2948.74	4488.05	5851.85	5087.53
XLOC_000049	1039.08	726.787	1209.16	902.351	909.988	1133.06	1189.53	1392.0	1243.03	924.113	1216.12	1310.33
XLOC_000050	6664.12	2601.19	4659.91	3341.67	6195.97	5265.93	3124.9	3397.08	1630.86	2172.31	4554.97	3829.85
XLOC_000051	1049.89	526.933	899.784	729.222	1060.67	1134.03	698.141	739.916	597.579	505.91	850.602	889.774
XLOC_000052	24.3373	19.0213	21.2563	30.5827	28.5719	20.9718	20.8164	34.2634	37.2795	28.8403	30.1705	20.6421
XLOC_000053	130.877	129.922	138.376	130.539	125.433	134.737	137.052	111.837	104.588	116.668	116.854	116.005
XLOC_000054	477.773	488.718	510.643	399.9	583.483	420.323	421.415	440.334	411.779	498.219	520.975	365.895
XLOC_000055	11573.3	7893.98	8284.24	2632.67	7214.49	6192.69	6832.77	4266.4	3026.84	2299.34	4061.98	4984.43
XLOC_000056	216.024	185.208	240.739	219.447	229.506	142.021	171.233	245.393	213.041	269.596	218.188	152.531
XLOC_000057	136.963	124.006	180.252	71.897	111.346	140.526	179.586	188.171	156.878	100.765	161.504	134.789
XLOC_000058	5266.88	3917.73	4699.33	3880.23	3822.51	3336.12	2933.77	2368.96	1710.03	3689.67	2530.03	2275.29
XLOC_000059	785.948	851.807	642.102	1040.21	755.763	770.958	865.42	1515.73	2682.59	1123.16	1096.36	1193.84
XLOC_000060	376.678	288.383	417.534	350.37	389.831	317.877	287.409	336.592	257.549	391.399	381.143	258.07
XLOC_000061	5696.7	5765.82	2977.24	2498.33	5124.51	1419.74	3439.46	4623.68	4113.63	6140.67	3358.74	2532.47
XLOC_000062	15218.1	15891.3	14980.7	7561.57	12497.0	13189.3	18969.6	13421.8	15683.8	12668.5	11454.7	13409.3
XLOC_000063	16084.8	8994.68	3721.55	1387.96	5425.95	3042.31	5063.65	2496.79	1347.57	2834.16	3631.07	2327.13
XLOC_000064	806.675	774.287	844.37	692.953	669.201	583.155	841.225	764.685	845.202	857.859	741.204	641.342
XLOC_000065	311.452	254.279	302.962	240.88	257.778	216.934	215.485	192.143	164.867	237.482	199.991	178.555
XLOC_000066	46.5055	58.1434	72.7618	58.6127	42.8794	49.673	70.5379	96.5393	121.071	80.4008	71.2201	64.0556
XLOC_000067	257.108	248.931	296.799	375.655	263.737	248.764	260.536	279.898	264.162	323.412	270.184	265.654
XLOC_000068	338.359	378.529	261.252	287.607	234.69	264.993	285.522	169.302	147.819	285.91	194.902	214.99
XLOC_000069	3738.82	2719.43	5912.76	4028.58	6499.11	4156.54	2971.09	5260.21	4676.62	4641.07	5946.35	4177.78
XLOC_000070	565.226	441.224	853.664	693.61	805.09	495.463	459.576	1058.27	957.943	802.242	826.658	535.283
XLOC_000071	225.351	257.515	261.382	318.892	235.604	205.368	255.597	264.444	261.649	380.826	275.75	240.187
XLOC_000072	107.306	87.6348	114.61	95.3769	103.456	83.1265	91.4896	112.002	101.387	119.488	116.483	81.6928
XLOC_000073	83.1232	107.356	125.822	180.646	106.161	95.6522	121.13	141.313	140.528	207.147	132.882	125.135
XLOC_000074	617.446	441.365	641.138	676.778	447.345	441.816	470.891	538.668	430.5	739.971	481.51	404.64
XLOC_000075	23.7194	28.5685	27.6594	23.3329	29.3383	39.4797	40.5759	29.455	34.5143	17.5534	23.2922	26.6461
XLOC_000076	33.5021	29.4325	36.2445	27.5459	28.3828	27.2788	37.235	42.2783	65.2348	25.3229	44.3394	36.9541
XLOC_000077	118.391	117.081	169.204	271.171	163.588	164.129	159.09	261.056	277.843	222.654	238.703	209.619
XLOC_000078	515.58	428.57	391.523	398.271	470.01	376.589	315.316	218.969	148.093	349.849	282.21	242.78
XLOC_000079	140.168	120.839	78.8572	152.474	140.05	194.92	87.3939	53.4032	64.569	87.6469	91.839	164.546
XLOC_000080	6.11269	12.6212	14.0298	16.8789	5.49871	17.2654	14.8137	16.3062	25.0128	17.5202	16.8349	17.2714
XLOC_000081	27.8015	45.7606	24.9077	31.1953	19.9148	39.4951	40.3728	30.6099	37.7489	26.5536	27.1062	41.1021
XLOC_000082	195.745	404.165	357.486	864.812	254.343	605.54	359.658	534.173	952.886	545.715	459.56	710.781
XLOC_000083	520.432	487.857	393.096	435.595	502.887	440.242	294.56	256.551	185.654	461.931	317.941	247.927
XLOC_000084	21.8078	21.7375	20.3776	17.1308	18.9409	22.3021	26.1569	23.2421	33.4237	25.4403	22.0007	27.4937
XLOC_000085	14.5796	20.0689	12.0282	18.5477	13.1152	23.3216	25.2378	18.1052	19.6169	8.22063	13.5413	21.4836
XLOC_000086	35.6111	58.5501	40.4278	30.3191	42.7123	70.6483	63.1748	43.1304	34.336	29.5608	33.7639	57.7852
XLOC_000087	0.0	0.0	11.5382	0.0	23.3645	31.4409	0.0	21.5027	5.49731	0.0	7.03602	0.0
XLOC_000088	256.911	320.778	277.998	573.84	263.573	431.915	403.35	390.246	384.54	530.476	333.736	465.365
XLOC_000089	52.109	46.6909	55.469	51.3109	61.9104	36.2998	52.1391	94.6904	117.365	47.9525	72.9772	53.0162
XLOC_000090	2.50021	2.15096	3.05435	5.69563	1.68681	5.67473	3.56418	3.27728	7.80533	2.64324	3.72511	5.87276
XLOC_000091	167.584	195.333	164.502	180.807	138.594	125.97	178.404	126.431	155.608	247.657	169.142	126.98
XLOC_000092	119.828	181.234	172.838	228.552	176.992	168.333	176.305	200.447	219.803	265.67	234.439	210.306
XLOC_000093	18.8016	19.9101	19.4383	15.9284	14.7661	12.992	17.5825	23.7544	21.9422	20.9537	24.9714	15.8834
XLOC_000094	5.8764	6.06665	3.26311	3.3467	6.60769	6.66883	2.72256	2.12841	2.64297	1.34606	2.08934	2.40054
XLOC_000095	12.2915	17.6242	13.8024	10.7478	11.6712	11.9858	13.531	11.4949	9.46664	12.2246	10.4515	11.437
XLOC_000096	12.6085	13.8302	12.4274	26.6013	11.6965	8.58523	13.2559	15.7661	22.2662	21.4387	15.2633	15.9348
XLOC_000097	53.2989	64.1053	56.9294	44.0438	52.7634	50.4447	53.8939	58.04	60.192	66.1443	56.7979	47.8683
XLOC_000098	787.37	1054.27	531.697	433.854	497.354	1090.29	897.188	412.948	431.398	386.196	400.84	778.976
XLOC_000099	17.3408	26.5218	12.6249	15.5619	12.5659	33.5276	29.939	15.6853	25.5896	9.6417	9.00359	37.0917
XLOC_000100	90.8857	68.3903	75.9038	55.7134	82.847	95.3487	71.5185	65.8786	78.9965	48.5122	70.5785	81.6801
XLOC_000101	895.737	681.767	1569.03	931.884	1485.14	710.107	966.954	2636.65	2486.16	1692.92	2271.39	1024.56
XLOC_000102	1320.95	1137.64	922.274	475.468	1110.45	706.114	702.573	514.854	406.259	608.369	625.74	470.85
XLOC_000103	246.879	255.081	244.001	114.29	225.992	235.904	189.504	129.326	95.3344	125.067	157.993	161.862
XLOC_000104	0.0	1.15695	0.497838	0.232087	1.51216	0.67829	0.159758	0.154629	0.0	0.0	0.151792	0.11445
XLOC_000105	5.28086	0.0	0.0	1.09365	4.75043	3.19626	0.0	0.0	0.0	0.744393	0.715276	0.0
XLOC_000106	181.709	163.055	148.159	134.329	206.908	187.94	134.436	124.408	103.694	129.042	112.779	134.364
XLOC_000107	5.77315	2.64891	0.854872	1.59413	1.73109	2.32948	1.09732	0.53105	0.0	0.0	0.0	0.0
XLOC_000108	47.3583	44.3283	35.7647	28.6386	54.1039	32.1034	31.8656	27.3141	18.9444	39.5199	36.5629	27.0846
XLOC_000109	33.2752	21.6293	27.1001	23.7362	28.27	35.8043	22.6636	27.0375	17.2156	9.90215	32.5507	26.431
XLOC_000110	28.5034	19.8722	23.5153	17.6322	26.3064	21.9568	19.3139	27.2747	16.7665	16.6976	27.4761	22.1534
XLOC_000111	397.281	373.336	451.394	265.813	469.63	332.939	335.451	293.058	197.816	277.851	349.079	262.684
XLOC_000112	7.40336	4.82718	1.21167	1.12973	7.71128	6.13177	0.666561	0.967746	0.494822	1.97731	3.69439	1.03463
XLOC_000113	10.0705	9.31357	1.81742	1.82487	5.94496	6.85711	1.0767	1.38952	0.865899	1.41955	2.98379	0.899906
XLOC_000114	3.00797	5.17558	1.33623	1.86882	4.05875	2.73087	0.643202	0.0	0.159161	1.27202	2.24081	0.460789
XLOC_000115	5.07449	5.4328	4.63373	5.37131	4.56479	5.80144	6.99282	5.2902	10.7403	2.94069	5.49859	6.1037
XLOC_000116	78.2941	86.4681	100.702	127.453	93.7702	81.2755	93.4429	145.337	129.486	160.413	113.446	92.7896
XLOC_000117	421.699	404.102	485.737	603.34	419.626	411.839	489.79	478.873	395.98	608.457	435.039	456.582
XLOC_000118	90.5404	92.6408	105.379	127.504	83.6181	104.85	111.861	131.59	150.622	122.691	111.352	138.452
XLOC_000119	21.5403	40.574	27.1958	32.4004	24.4759	43.2291	54.9491	22.5255	52.3091	15.6611	21.1908	51.6382
XLOC_000120	16.3355	21.5082	13.567	25.8874	19.8059	19.3443	22.2746	13.7197	17.5878	20.2234	12.1212	20.0194
XLOC_000121	6.6709	4.97385	5.43295	8.51936	7.00099	8.41163	6.6568	8.89764	15.2957	7.6794	7.6802	9.19721
XLOC_000122	465.195	508.221	438.911	402.342	475.011	448.733	474.123	379.93	275.489	421.012	430.668	432.181
XLOC_000123	122.507	138.455	95.0947	44.3322	66.1214	69.4649	82.7245	69.3932	64.9588	53.8057	70.9143	73.2236
XLOC_000124	75.7718	65.0583	70.8198	149.152	86.3823	49.7207	59.9974	74.3232	58.274	151.541	83.2223	54.1681
XLOC_000125	13.6657	9.40545	13.1533	6.83947	6.14655	7.58197	14.4486	17.9131	17.9569	7.22375	11.1059	13.3748
XLOC_000126	11.2066	19.633	19.9133	26.5842	26.5771	30.8311	24.6896	27.5519	36.0098	17.5202	21.5266	33.2943
XLOC_000127	85.0343	80.134	83.9766	88.3223	92.3802	85.1189	71.427	84.1163	84.4507	72.4722	67.5111	68.4051
XLOC_000128	29.8055	19.9877	16.2961	23.4243	17.187	29.1414	28.3262	19.8246	31.7038	19.1757	26.7068	32.0003
XLOC_000129	202.673	232.143	205.697	195.464	208.931	171.019	208.782	248.62	299.02	231.47	227.225	203.054
XLOC_000130	344.971	409.937	360.81	275.641	338.604	451.42	421.308	350.183	372.833	254.832	321.281	427.406
XLOC_000131	25057.8	21287.6	28212.1	33619.4	34160.8	21277.5	18671.8	21557.0	16491.4	32668.5	26246.7	18313.2
XLOC_000132	752.41	701.781	928.944	1289.15	889.133	771.441	819.397	1167.52	1183.84	1306.11	1141.19	972.143
XLOC_000133	173.511	151.02	188.311	435.073	355.39	224.578	223.376	329.06	239.78	402.019	341.605	230.688
XLOC_000134	262.246	245.533	347.92	290.144	334.731	235.943	316.59	445.95	386.785	384.317	410.885	283.506
XLOC_000135	146.719	157.274	202.742	407.066	316.356	223.45	230.842	354.997	289.18	438.217	368.226	260.349
XLOC_000136	752.622	742.218	1008.37	1725.81	1424.81	1013.3	1137.8	1730.58	1448.83	1832.71	1817.35	1242.21
XLOC_000137	6.39307	6.23337	7.81001	5.29592	9.58487	9.67356	8.50608	14.1138	16.35	6.60859	8.5149	9.79351
XLOC_000138	30.7282	29.2828	27.5634	33.7766	35.6154	31.8318	33.1905	32.9404	42.6493	27.155	28.494	32.5886
XLOC_000139	277.873	268.984	361.393	484.911	344.399	228.788	257.134	439.531	445.272	444.242	383.222	274.723
XLOC_000140	1971.05	2023.85	1969.58	2421.31	1895.36	2273.21	2152.1	1602.44	1338.25	2599.23	1818.09	2004.02
XLOC_000141	137.002	152.702	184.736	206.894	170.138	137.223	181.477	241.06	249.423	232.426	228.425	189.071
XLOC_000142	407.544	371.369	453.909	660.438	423.241	382.393	432.376	635.509	484.823	699.424	489.674	427.76
XLOC_000143	3.75774	4.06414	8.82349	10.895	10.6238	6.49825	6.42823	15.1103	36.1309	8.17243	9.4524	11.4033
XLOC_000144	37.3534	43.0863	43.4786	37.358	41.797	41.5141	43.6013	54.9519	56.4433	43.3704	41.8855	37.9882
XLOC_000145	211.41	231.35	278.458	230.732	211.094	208.569	264.608	389.713	442.532	396.049	349.345	240.518
XLOC_000146	164.367	151.636	179.177	163.359	194.696	146.991	144.355	161.703	142.28	149.97	175.157	136.512
XLOC_000147	24.9624	33.7	33.4805	35.392	31.5235	24.1156	26.2783	41.5964	45.2132	44.9313	35.8915	24.0224
XLOC_000148	262.988	295.145	168.701	208.474	153.942	460.615	322.165	71.5319	62.4266	96.7037	82.1496	303.431
XLOC_000149	15.1286	24.4994	14.2318	16.9554	15.2101	18.3132	15.9846	16.2083	16.7634	17.8129	11.8126	18.1768
XLOC_000150	33.6917	46.3766	28.9016	32.7217	37.6232	40.784	47.698	33.984	32.7039	33.0807	38.3958	45.0865
XLOC_000151	180.234	230.371	188.726	133.306	243.196	257.134	260.603	206.053	190.734	192.359	202.272	257.693
XLOC_000152	470.121	733.404	515.145	350.497	507.48	512.176	554.017	458.392	464.343	485.969	534.882	512.125
XLOC_000153	1837.25	1613.19	2157.35	1395.69	1593.05	1333.6	1607.37	1811.23	1540.36	1515.08	1639.66	1511.47
XLOC_000154	41872.9	37992.5	30496.3	22946.4	49490.8	50356.3	31525.1	21811.6	15807.0	26003.0	30368.0	37063.9
XLOC_000155	27.4787	26.0033	24.9076	16.6025	20.3189	20.6664	20.8229	27.377	27.7531	21.3975	21.369	20.8807
XLOC_000156	13.7254	16.2535	19.6367	12.0387	16.5229	13.194	16.1709	24.7867	22.4711	19.9733	21.762	17.6452
XLOC_000157	54.518	78.3355	73.5057	98.6431	78.2952	105.359	88.8988	129.596	158.71	100.308	104.935	103.931
XLOC_000158	7.53027	11.2292	8.36296	11.9561	11.2898	18.2309	9.66131	15.239	32.6728	7.4303	15.2993	15.1244
XLOC_000159	2.30561	0.79342	1.02423	0.954968	2.07403	1.04661	0.657355	1.43157	2.31794	0.162501	0.780721	1.64825
XLOC_000160	32.5867	30.1998	35.8318	49.846	36.2792	31.8306	29.5283	43.0041	51.9669	31.6539	29.7165	30.9072
XLOC_000161	57.5608	53.4359	60.0606	67.6426	50.575	49.4226	48.8519	80.5301	81.3136	61.1366	56.5695	49.4886
XLOC_000162	36.4097	56.297	55.8348	94.8221	63.2619	83.0165	56.3123	83.9592	106.62	70.3061	74.1765	88.2227
XLOC_000163	1595.87	1508.96	920.956	741.306	1153.83	1110.34	1012.06	539.174	359.867	853.568	751.496	682.386
XLOC_000164	1922.75	1731.91	1986.31	1798.62	2010.34	1162.94	1039.59	980.891	769.166	1805.25	1173.26	774.077
XLOC_000165	19.7354	24.9019	14.2465	23.1603	13.3148	16.4242	14.3013	15.8846	22.6256	19.2415	14.9248	16.9638
XLOC_000166	721.19	473.628	616.607	794.054	589.33	724.595	566.853	742.541	291.921	507.355	558.238	660.567
XLOC_000167	76.8936	100.883	82.7278	74.6455	97.2705	91.6258	76.046	70.2894	81.8821	69.7759	79.7399	77.7924
XLOC_000168	660.976	513.748	465.183	342.41	545.485	428.882	394.043	333.328	289.212	334.474	349.452	390.042
XLOC_000169	6.74269	9.28132	7.4883	8.37832	3.03272	10.2026	17.3017	11.1642	20.693	9.50455	10.0461	13.0835
XLOC_000170	65.7527	56.1382	67.2926	65.6725	66.261	76.3196	84.8351	100.372	104.199	58.5443	80.4922	91.9711
XLOC_000171	92.1157	130.134	74.088	139.763	69.7796	135.569	127.445	93.1178	115.337	166.751	92.1969	140.616
XLOC_000172	3074.49	3602.95	3493.12	4142.55	2757.22	3627.11	3194.89	2881.68	2551.76	5493.89	3023.97	3232.15
XLOC_000173	13.9467	24.1342	16.9936	11.0581	8.60289	33.2829	28.857	13.4155	16.3617	7.18973	13.7091	26.1263
XLOC_000174	86.9978	119.752	38.6472	45.0423	58.6946	276.442	74.412	36.0116	73.6531	30.6582	11.7836	97.7324
XLOC_000175	405.234	462.391	466.921	552.95	429.883	408.244	439.533	549.942	564.549	653.522	523.419	445.026
XLOC_000176	173.857	178.885	221.22	235.21	154.037	213.099	226.297	273.399	250.369	283.617	227.201	244.828
XLOC_000177	182.805	151.297	180.371	182.487	138.216	184.499	145.935	216.857	151.499	180.922	161.058	178.185
XLOC_000178	5069.39	4524.11	3343.67	2505.74	4344.71	3183.45	3191.63	1707.96	1321.63	2379.03	2257.47	2281.81
XLOC_000179	162.429	124.181	180.391	315.925	245.909	144.933	174.38	265.246	223.726	357.959	290.657	157.247
XLOC_000180	39.0214	39.5246	44.154	82.0316	77.4892	62.3867	59.4055	118.857	222.057	74.1008	86.7592	84.0633
XLOC_000181	148.349	151.209	158.483	139.049	198.095	150.063	158.208	163.328	160.252	155.28	179.381	141.963
XLOC_000182	225.575	239.935	163.976	377.973	507.294	390.973	277.719	475.359	572.922	202.346	324.978	406.292
XLOC_000183	370.55	326.273	345.363	228.508	309.804	249.937	243.947	219.707	167.285	259.38	254.902	202.204
XLOC_000184	288.528	246.943	269.816	212.335	228.165	246.258	261.009	225.697	258.685	219.16	231.267	250.782
XLOC_000185	9.1609	10.0138	5.50588	5.57997	11.1492	8.80623	11.9839	6.39442	11.6335	8.20372	9.63457	10.8966
XLOC_000186	88.1897	107.905	92.4365	139.664	101.627	100.823	121.611	111.662	116.385	160.713	122.886	114.436
XLOC_000187	1611.23	1475.94	1232.07	1463.96	1175.12	1368.66	1244.12	801.878	568.455	1013.66	740.745	1073.37
XLOC_000188	6120.08	4647.88	2249.99	1136.33	2088.24	1660.5	2948.28	1048.27	1518.66	3748.24	1200.54	1336.25
XLOC_000189	67.1274	51.8194	108.4	75.8965	108.53	48.3157	62.8475	125.165	137.277	102.295	130.731	60.5876
XLOC_000190	182.697	129.484	261.037	644.024	394.28	161.235	195.149	547.67	677.786	824.375	589.145	323.257
XLOC_000191	784.345	659.464	673.509	762.917	536.455	907.152	753.376	617.249	354.493	339.351	462.98	860.281
XLOC_000192	62.6391	68.0706	60.0462	71.0064	41.5191	65.8481	72.3762	87.3387	110.248	83.6493	108.956	78.7854
XLOC_000193	130.038	129.564	112.511	138.096	112.215	144.141	167.916	126.849	156.975	148.773	141.93	165.077
XLOC_000194	18.3181	24.0254	17.3497	24.6226	16.789	14.2249	16.2593	17.6449	16.1666	27.8675	20.3171	16.1662
XLOC_000195	4.79532	5.50063	3.19535	4.79995	7.5489	5.80476	7.74744	6.61654	12.0101	4.95698	5.19609	6.1216
XLOC_000196	11.6251	20.2692	14.4599	19.5812	16.0348	23.6884	22.0963	25.1297	27.0653	20.2105	20.6796	22.32
XLOC_000197	357.576	296.197	317.379	390.459	358.53	337.895	286.101	261.316	225.549	373.548	290.978	311.052
XLOC_000198	33.6036	38.1178	36.4901	70.6228	49.8208	45.1971	37.7907	58.7302	83.2399	61.0519	60.181	47.0285
XLOC_000199	4.93219	10.1837	4.92983	3.06432	7.76438	3.73153	5.27333	8.84702	13.0489	3.47623	6.68051	5.28892
XLOC_000200	38.1148	30.6275	32.5339	14.1338	30.1577	25.2432	27.8785	28.5255	24.2435	20.1405	28.002	19.1569
XLOC_000201	16.7256	15.2115	21.7594	19.5458	17.7323	13.5579	16.9457	24.5614	28.2568	15.7457	26.1334	22.2056
XLOC_000202	2.51929	2.31187	3.54397	5.56518	4.91019	3.55789	2.27454	5.79349	9.24236	3.55121	5.68717	5.403
XLOC_000203	25.8369	21.7338	22.9551	32.6988	22.2733	17.3754	21.7921	28.3215	21.0382	36.521	27.2185	16.4181
XLOC_000204	33.548	30.4625	44.9597	72.3959	42.3511	28.8366	43.4037	61.7709	46.1831	74.8684	56.7424	43.0714
XLOC_000205	665.513	739.712	565.864	696.597	640.07	783.021	716.065	524.872	629.513	620.381	580.614	735.308
XLOC_000206	31.731	44.6704	28.1918	36.7399	30.49	37.5376	42.5613	38.4089	65.7856	41.6786	36.7272	38.2976
XLOC_000207	610.319	556.869	601.98	601.72	486.272	521.378	507.442	536.279	421.399	647.718	524.023	473.785
XLOC_000208	12.3749	15.3306	10.6281	15.3768	14.1004	12.4832	10.7022	17.5301	14.3181	18.4903	21.6781	12.2168
XLOC_000209	555.077	403.057	417.373	382.704	617.024	440.623	365.982	252.911	171.65	418.926	372.248	350.135
XLOC_000210	36.468	39.7403	41.6918	43.3892	40.8455	30.9446	38.7355	50.1703	50.0191	47.8273	40.4844	39.9089
XLOC_000211	1087.82	777.164	1216.81	645.006	787.779	900.101	1031.51	1173.49	834.501	585.121	1021.84	1105.7
XLOC_000212	1701.76	1168.01	2075.81	598.546	1285.18	1312.68	1425.33	1709.47	1067.27	591.443	1518.88	1466.6
XLOC_000213	821.003	838.646	1025.08	475.834	861.027	518.558	624.013	693.996	612.379	535.53	780.32	559.358
XLOC_000214	2989.08	2218.78	2986.89	1775.6	3160.8	1215.85	932.915	1070.61	661.868	1012.0	1232.35	937.648
XLOC_000215	2377.69	2249.19	2015.89	2513.56	1841.66	2647.7	2367.7	1331.52	1178.14	1619.07	1368.92	2125.67
XLOC_000216	80.2172	93.67	106.104	83.6234	70.5383	93.8303	121.292	115.409	154.711	126.796	134.289	127.211
XLOC_000217	17.0863	12.2119	7.0064	10.3433	11.232	14.319	12.1787	11.0624	19.1945	8.15183	9.79121	12.2147
XLOC_000218	33.7034	41.871	32.5474	45.8313	42.906	42.8534	48.7725	60.1552	94.0264	46.2132	50.8393	49.908
XLOC_000219	643.313	221.38	285.78	266.455	868.044	194.684	366.83	532.583	272.317	362.727	1045.62	459.894
XLOC_000220	8447.83	8924.15	4800.09	2359.81	3181.1	3210.54	7785.83	3252.91	4033.4	5760.21	3938.29	4333.8
XLOC_000221	15.1318	15.3402	15.8967	9.40122	8.09357	16.5844	16.7322	11.0037	11.2527	9.45434	10.137	14.4512
XLOC_000222	15.7241	17.0876	15.9555	8.02104	9.38018	18.3329	16.5639	10.5511	11.1402	7.69936	9.14686	15.0442
