0	D1	D2	D3	DR1	DR2	DR3	V1	V2	V3	VR1	VR2	VR3
XLOC_000001	1.24113	0.284735	1.1027	0.856776	1.11646	0.500797	0.707717	0.684999	1.05075	0.816434	0.448285	0.591508
XLOC_000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
XLOC_000003	0.0	0.0	0.473129	0.441136	0.958073	0.0	0.0	0.0	0.22542	0.0	0.288516	0.0
XLOC_000004	0.0	0.534704	0.690251	0.0	0.0	0.940447	0.221503	0.428786	0.164433	0.0	0.210459	0.317369
XLOC_000005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
XLOC_000006	0.522857	0.0	0.0	0.0	0.47034	0.632922	0.0	0.144287	0.0	0.294809	0.0	0.21359
XLOC_000007	0.789989	1.08742	0.703858	0.656263	1.42529	2.04741	0.679518	0.437239	1.05131	1.62181	0.0	0.161357
XLOC_000008	0.0	0.525992	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.207029	0.312198
XLOC_000009	71.0613	53.6301	60.0874	79.3677	61.2785	71.7823	59.1042	84.1199	56.2195	61.3446	70.6279	67.6674
XLOC_000010	2.37266	4.08107	0.350938	1.0644	3.64309	1.49491	0.0	0.0	0.313826	0.222715	0.0	0.0
XLOC_000011	2.58546	3.203	1.37825	0.642528	5.58185	1.87783	0.0	0.285392	0.328331	0.14578	0.280155	0.105618
XLOC_000012	0.0	0.0	0.139489	0.0	0.0	0.19005	0.089525	0.0866512	0.132918	0.0	0.085061	0.0
XLOC_000013	0.0	0.0	0.0	0.0	0.0	0.0	0.308325	0.0	0.228885	0.0	0.0	0.0
XLOC_000014	3.86865	5.3252	2.29144	2.13649	6.96014	3.12202	0.0	0.355862	0.0	0.0	0.698663	0.0
XLOC_000015	0.0	0.0	0.0	0.0	0.0	0.0	0.381863	0.184803	0.0	0.0	0.0	0.0
XLOC_000016	1.69295	0.0	0.0	0.0	0.0	0.0	0.965357	0.934369	0.358317	2.3864	0.458611	0.0
XLOC_000017	0.431469	0.0	0.191672	0.178711	0.388131	0.0	0.0	0.0	0.0	0.0	0.116882	0.0
XLOC_000018	2.06441	1.6238	0.655054	0.244303	1.85705	1.07099	0.0	0.0	0.0	0.0	0.0798908	0.0
XLOC_000019	1.17201	1.61327	0.520645	0.242719	1.58144	1.41873	0.0	0.0	0.0	0.0	0.0	0.0
XLOC_000020	0.404201	0.556384	0.359118	0.0	0.363602	0.733933	0.0	0.7808	0.3422	0.113953	0.328487	0.412796
XLOC_000021	6.56312	0.980791	3.00577	1.75262	3.01512	2.18683	3.60001	1.36964	0.941432	1.08548	2.52071	2.25201
XLOC_000022	0.0	1.54152	0.0	0.185539	0.402959	0.271125	0.0	0.0	0.0	0.126287	0.0	0.0
XLOC_000023	0.0	0.446161	0.0	0.134251	0.291571	0.196179	0.184824	0.0	0.0686022	0.182757	0.0	0.0
XLOC_000024	1.57116	0.0	0.0	0.325381	0.706672	0.950948	0.0	0.0	0.166269	0.221471	0.212809	0.320913
XLOC_000025	0.0	0.0	0.117249	0.0	0.237426	0.159748	0.150502	0.0	0.111725	0.223228	0.142998	0.107819
XLOC_000026	2675.57	2070.36	2846.11	2472.26	3149.07	1427.45	1385.55	1559.19	1153.36	1938.7	1619.47	1381.61
XLOC_000027	220.084	186.428	194.032	95.3643	199.501	156.774	173.764	166.318	125.053	140.797	188.948	131.746
XLOC_000028	4.6758	2.41359	1.38476	0.806951	3.50513	3.06588	0.222187	0.107527	0.247411	0.219702	0.211108	0.159174
XLOC_000029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
XLOC_000030	14.1877	9.7647	0.0	11.7529	0.0	8.58716	0.0	0.0	0.0	0.0	0.0	0.0
XLOC_000031	0.0	3.99984	0.0	0.0	0.0	0.0	0.828476	0.0	0.0	0.819209	0.0	0.0
XLOC_000032	101.033	101.358	101.493	74.6683	101.342	88.2926	116.335	126.821	181.672	78.386	114.517	114.807
XLOC_000033	2244.21	1849.75	1764.1	1333.89	1861.35	1436.0	1107.81	973.506	911.293	1169.98	1117.9	884.995
XLOC_000034	330.658	252.862	290.396	299.138	293.278	259.43	262.061	347.729	283.581	266.315	315.255	265.352
XLOC_000035	196.275	267.574	249.418	395.143	350.574	254.155	247.515	457.787	677.853	529.398	482.361	303.756
XLOC_000036	11193.3	5135.88	13029.0	8176.92	16441.8	15350.5	5116.91	11273.8	10835.9	4021.11	11463.5	12261.0
XLOC_000037	65.9503	39.5335	47.2536	35.2466	74.636	77.258	32.1473	62.2307	88.7042	26.9896	41.4942	69.0908
XLOC_000038	37.532	25.8314	48.9072	44.5637	54.0195	84.8078	34.2425	55.9293	90.5585	17.6351	46.0913	56.7285
